word,pos,example_sentence,collocations,root_analysis,synonyms,category,topic,card_type,zh_hint,notes
individual,adj.,Online courses can be adapted to individual needs.,individual needs; an individual choice; each individual,"in-(不) + divid(分開, 同 divide/division) + -ual → 不能再分下去的",separate; personal; single; particular,AWL,Sublist 1,passive,個別的,
interpret,v.,The same figures can be interpreted in two very different ways.,interpret the data; be interpreted as; wrongly interpret,"inter-(之間) + pret(交易、價格, 拉丁 pretium) → 在雙方之間居中說明",explain; make sense of; read; construe,AWL,Sublist 1,passive,解讀,
involve,v.,The job involves travelling abroad several times a year.,involve risk; be involved in; closely involved,"in-(進入) + volv(捲, 同 revolve/evolve/volume 卷軸) → 把事情捲進來",entail; include; require; draw in,AWL,Sublist 1,passive,牽涉、包含,
issue,n.,Housing is the issue that voters mention most often.,a key issue; raise an issue; address the issue,"拉丁 exire「出去」(ex- 出 + ire 走, 同 exit) → 冒出來要處理的事",matter; question; problem; topic,AWL,Sublist 1,passive,議題、問題,
labour,n.,Factories moved abroad in search of cheaper labour.,manual labour; cheap labour; the labour market,拉丁 labor「辛苦、費力」→ 出力氣的工作,work; toil; workforce; manpower,AWL,Sublist 1,passive,勞動、勞力,美式拼 labor
legal,adj.,Employers have a legal duty to provide safety training.,legal advice; take legal action; a legal requirement,"leg(法律, 拉丁 lex/legis, 同 legislate/legitimate) + -al → 法律上的",lawful; permitted; legitimate; judicial,AWL,Sublist 1,passive,法律的、合法的,
legislate,v.,Several countries have legislated against single-use plastics.,legislate against; legislate to protect; the power to legislate,"leg(法律, 同 legal) + lat(帶來, 同 translate/relate) → 把法律帶出來",make laws; pass laws; enact legislation,AWL,Sublist 1,passive,立法,
major,adj.,Traffic is a major source of air pollution in the city.,a major factor; a major change; play a major role,拉丁 major「較大的」(同 majority/mayor/maximum) → 比較大的那個,main; principal; significant; leading,AWL,Sublist 1,passive,主要的,
method,n.,The study compares two methods of teaching reading.,a teaching method; a reliable method; the method used,"meta-(沿著) + hod(路, 希臘 hodos, 同 exodus) → 沿著一條路走的方式",approach; technique; procedure; way,AWL,Sublist 1,passive,方法,
occur,v.,Flooding now occurs three times as often as it did in 1980.,occur naturally; frequently occur; it occurred to me,"oc-(朝向) + cur(跑, 同 current/recur/course) → 跑過來發生",happen; take place; arise; come about,AWL,Sublist 1,passive,發生,拼字陷阱：occurred / occurring 要雙寫 r
percent,n.,Almost forty percent of graduates work outside their field.,ten percent of; a percent increase; percent of the total,"per(每) + cent(百, 同 century/centimetre) → 每一百當中有幾個",per cent; out of a hundred; proportion,AWL,Sublist 1,passive,百分比,英式常寫成兩個字 per cent，Task 1 用哪種都行但要一致
period,n.,Rainfall was unusually low over the whole period.,over the period; a long period; the period shown,"peri-(周圍, 同 perimeter) + od(路, 希臘 hodos) → 繞完一圈的時間",time; span; era; stretch,AWL,Sublist 1,passive,期間,
policy,n.,The government reversed its policy on tuition fees.,government policy; implement a policy; a policy of,"polis(城邦, 希臘, 同 politics/police/metropolis) → 治理城邦的方針",strategy; approach; guidelines; course of action,AWL,Sublist 1,passive,政策,
principle,n.,The design follows one simple principle: nothing is wasted.,in principle; a guiding principle; the principle of,"prin(第一, 同 prime/prince) + cip(拿, 同 capture) → 最先要抓住的東西",rule; doctrine; fundamental idea; tenet,AWL,Sublist 1,passive,原則,別跟 principal（主要的／校長）搞混
proceed,v.,Construction proceeded despite the objections of residents.,proceed with; proceed to; the work proceeded,"pro-(向前) + ceed(走, 同 exceed/succeed/process) → 往前走下去",continue; go ahead; carry on; move on,AWL,Sublist 1,passive,繼續進行,
process,n.,The application process takes about six weeks.,the whole process; a lengthy process; in the process of,"pro-(向前) + cess(走, 同 proceed/access) → 一步步往前走的整段",procedure; operation; course; method,AWL,Sublist 1,passive,過程,
require,v.,The course requires no previous knowledge of statistics.,require permission; be required to; require attention,"re-(一再) + quir(尋求, 同 question/inquire/conquer) → 反覆去要 → 需要",need; demand; call for; necessitate,AWL,Sublist 1,passive,需要、要求,
research,n.,Recent research suggests that short naps improve memory.,conduct research; extensive research; research suggests,re-(一再) + search(尋找) → 一再地找 → 研究,investigation; study; inquiry; fieldwork,AWL,Sublist 1,passive,研究,不可數：不能說 a research 或 researches
respond,v.,The council responded to complaints by adding more bins.,respond to criticism; respond quickly; fail to respond,"re-(回) + spond(承諾、保證, 同 sponsor/correspond) → 回話回去",reply; react; answer; come back,AWL,Sublist 1,passive,回應,
role,n.,Grandparents play a much larger role in childcare than before.,play a role; a key role; the role of,原指寫著演員台詞的捲軸(roll) → 所扮演的角色,part; function; position; capacity,AWL,Sublist 1,passive,角色、作用,
section,n.,The final section of the report deals with funding.,a section of the report; a cross-section; in this section,"sect(切, 同 dissect/insect 被切成節的/sector) + -ion → 切下來的一塊",part; segment; portion; division,AWL,Sublist 1,passive,部分、章節,
sector,n.,The service sector now employs three quarters of the workforce.,the public sector; the private sector; the service sector,sect(切) + -or → 從整體切出來的一塊領域,part; branch; area; division,AWL,Sublist 1,passive,部門、產業,
significant,adj.,There was a significant fall in road deaths after the limit changed.,a significant increase; statistically significant; significant differences,"sign(記號) + fic(做, 同 factory) + -ant → 值得做記號標起來的",important; considerable; notable; marked,AWL,Sublist 1,passive,顯著的、重要的,
similar,adj.,The two cities show a similar pattern of population growth.,similar to; broadly similar; a similar pattern,拉丁 similis「像」(同 simulate/assemble/resemble) → 長得像的,alike; comparable; much the same; parallel,AWL,Sublist 1,passive,相似的,
source,n.,Coal is still the main source of electricity in the region.,a reliable source; the main source of; renewable sources,拉丁 surgere「湧出」(同 surge/resource/resurrect) → 水湧出來的地方,origin; supply; provider; root,AWL,Sublist 1,passive,來源,
specific,adj.,The essay needs specific examples rather than general claims.,a specific example; be specific about; specific requirements,"spec(看, 同 species/inspect/spectator) + fic(做) → 做出可辨認外觀的 → 特定的",particular; precise; definite; exact,AWL,Sublist 1,passive,特定的、具體的,
structure,n.,The structure of the essay matters as much as its content.,the structure of; a rigid structure; sentence structure,"struct(建造, 同 construct/instruct/destroy) + -ure → 建起來的整個樣子",framework; organisation; arrangement; make-up,AWL,Sublist 1,passive,結構,
theory,n.,In theory the system works; in practice it rarely does.,in theory; a theory of; support a theory,希臘 theoria「觀看、思索」(同 theatre 看的地方) → 看過之後想出的說法,hypothesis; explanation; model; principle,AWL,Sublist 1,passive,理論,
vary,v.,Rents vary widely between districts of the same city.,vary widely; vary according to; prices vary,拉丁 varius「各式各樣」(同 various/variety/variable) → 變得不一樣,differ; fluctuate; range; change,AWL,Sublist 1,passive,變化、不同,
achieve,v.,The country achieved its emissions target two years early.,achieve a goal; achieve success; hard to achieve,"法文 achever「做到頭」(à chef 到頂點, 同 chief) → 一路做到底",accomplish; attain; reach; realise,AWL,Sublist 2,passive,達成,
acquire,v.,Children acquire a second language far faster than adults.,acquire skills; acquire a taste for; newly acquired,"ad-(朝向) + quir(尋求, 同 require/inquire/conquer) → 一路追到手",obtain; gain; pick up; come by,AWL,Sublist 2,passive,取得、習得,
administration,n.,Too much of a teacher's week goes on administration.,hospital administration; the administration of; administration costs,"ad-(朝向) + minister(服務, 同 minister/minor 小的→僕從) + -ation → 為人打理事務",management; governance; running; paperwork,AWL,Sublist 2,passive,行政、管理,
affect,v.,Rising sea temperatures affect fish stocks worldwide.,affect the outcome; badly affected; seriously affect,"af-(朝向) + fect(做, 同 effect/perfect/factory) → 對某物施加動作 → 影響",influence; have an impact on; change; alter,AWL,Sublist 2,passive,影響,affect 是動詞、effect 是名詞 —— 雅思寫作最常見的錯之一
appropriate,adj.,Jeans are not appropriate for a formal interview.,appropriate action; where appropriate; an appropriate response,"ap-(朝向) + propri(自己的, 同 property/proper) + -ate → 配得上這個場合的",suitable; fitting; proper; apt,AWL,Sublist 2,passive,適當的,
aspect,n.,The report examines every aspect of student life.,an important aspect; every aspect of; a positive aspect,"a-(朝向) + spect(看, 同 inspect/respect/spectator) → 從某個角度看過去的那一面",side; feature; facet; element,AWL,Sublist 2,passive,方面,
assist,v.,Volunteers assist staff with the evening classes.,assist with; assist in the process; greatly assist,"as-(朝向) + sist(站, 同 consist/resist/insist) → 站到旁邊幫忙",help; aid; support; lend a hand,AWL,Sublist 2,passive,協助,
category,n.,Spending falls into three broad categories.,fall into a category; a broad category; three categories,希臘 katēgoria「公開指稱」(kata 向下 + agora 集會場) → 當眾歸到某個名目下,class; group; type; classification,AWL,Sublist 2,passive,類別,
chapter,n.,The final chapter suggests directions for future research.,the opening chapter; in this chapter; a chapter on,拉丁 caput「頭」的小詞(同 capital/captain/chief) → 一個小標頭底下的段落,section; part; division,AWL,Sublist 2,passive,章,
commission,v.,The council commissioned a study of local air quality.,commission a study; commission a report; be commissioned to,"com-(一起) + miss(送, 同 mission/transmit/dismiss) + -ion → 把任務託付送出去",order; appoint; contract; engage,AWL,Sublist 2,passive,委託,
community,n.,The library is the only meeting place the community has.,the local community; a close-knit community; community support,"com-(一起) + mun(義務、共有, 同 municipal/immune) + -ity → 共同承擔的一群人",neighbourhood; population; the public; society,AWL,Sublist 2,passive,社區、群體,
complex,adj.,Traffic is a complex problem with no single solution.,a complex problem; increasingly complex; complex systems,"com-(一起) + plex(編織, 同 perplex/plait) → 編在一起拆不開的",complicated; intricate; involved; multi-layered,AWL,Sublist 2,passive,複雜的,
compute,v.,The software computes the total cost automatically.,compute the total; compute the cost; computed automatically,"com-(一起) + put(算, 拉丁 putare 原意修剪→理清) → 一起算清楚",calculate; work out; reckon; tally,AWL,Sublist 2,passive,計算,
conclude,v.,The authors conclude that the policy has largely failed.,conclude that; the study concludes; conclude an agreement,"con-(完全) + clud(關閉, 同 include/exclude/close) → 整個收攏關起來",decide; determine; infer; wrap up,AWL,Sublist 2,passive,得出結論,
consequent,adj.,Deforestation and the consequent soil erosion worry local farmers.,the consequent rise; consequent damage; consequent upon,"con-(一起) + sequ(跟隨, 同 sequence/consecutive/pursue) + -ent → 跟在後面來的",resulting; following; ensuing,AWL,Sublist 2,passive,隨之而來的,
construct,v.,The bridge was constructed in under two years.,construct a building; carefully constructed; construct an argument,"con-(一起) + struct(建造, 同 structure/instruct/destroy) → 組建起來",build; assemble; put together; erect,AWL,Sublist 2,passive,建造,
consume,v.,Data centres consume as much power as a small city.,consume energy; consume resources; heavily consumed,"con-(完全) + sum(拿取, 同 assume/resume) → 整個拿去用光",use up; get through; expend; burn,AWL,Sublist 2,passive,消耗,
credit,n.,The team deserves credit for finishing ahead of schedule.,take credit for; give credit to; buy on credit,"cred(相信, 同 credible/incredible/creed) → 因為被信任而給出去的",recognition; praise; acknowledgement,AWL,Sublist 2,passive,功勞；賒帳,
culture,n.,Working culture varies enormously between the two offices.,popular culture; a company's culture; cultural differences,"cult(耕作, 同 cultivate/agriculture) + -ure → 耕出來的東西 → 文化",way of life; customs; traditions; values,AWL,Sublist 2,passive,文化,
design,v.,The building was designed to use half the usual energy.,design a system; specially designed; designed to reduce,de-(下) + sign(標記) → 把構想標記下來 → 設計,plan; devise; create; draw up,AWL,Sublist 2,passive,設計,
distinct,adj.,The two species look alike but are genetically distinct.,a distinct advantage; distinct from; three distinct groups,"di-(分開) + stinct(刺, 同 instinct/extinguish/distinguish) → 刺開來就分得出",separate; clear; different; unmistakable,AWL,Sublist 2,passive,明顯不同的,
element,n.,Trust is the one element the plan cannot do without.,a key element; the elements of; an essential element,拉丁 elementum「最基本的組成」→ 構成整體的單位,component; part; ingredient; factor,AWL,Sublist 2,passive,要素,
equate,v.,People often equate wealth with success.,equate with; wrongly equate; equate A to B,"equ(相等, 同 equal/equator/equity) + -ate → 把兩件事當成相等",liken; compare; treat as the same; identify with,AWL,Sublist 2,passive,把…等同,
evaluate,v.,The study evaluates three ways of cutting food waste.,evaluate the results; critically evaluate; evaluate options,"e-(出來) + valu(價值, 同 value/valid/available) + -ate → 把價值算出來",assess; judge; appraise; weigh up,AWL,Sublist 2,passive,評估,
feature,n.,The main feature of the design is a glass roof.,a key feature; a distinctive feature; a safety feature,"拉丁 factura「製作出來的樣子」(fact 做, 同 factory) → 做出來的外顯特點",characteristic; attribute; trait; aspect,AWL,Sublist 2,passive,特色,
final,adj.,The final section of the course is entirely practical.,the final stage; a final decision; in the final analysis,"fin(結束, 同 finish/define/infinite) + -al → 走到界線的",last; concluding; closing; ultimate,AWL,Sublist 2,passive,最後的,
focus,v.,The campaign focuses on cutting waste rather than recycling it.,focus on; focus attention; sharply focused,拉丁 focus「爐灶」→ 家裡大家圍著的中心點 → 聚焦處,concentrate; centre; zero in; direct attention,AWL,Sublist 2,passive,聚焦,
impact,n.,The bypass had an immediate impact on traffic in the town.,have an impact on; a major impact; environmental impact,"im-(進入) + pact(打緊, 同 compact/pack) → 撞進去的那股力道",effect; influence; consequence; repercussion,AWL,Sublist 2,passive,衝擊、影響,
injure,v.,Two workers were injured when the scaffolding collapsed.,seriously injured; injure yourself; injure a knee,"in-(不) + jur(法律、正當, 同 jury/justice/perjury) → 對人做不正當的事 → 傷害",hurt; harm; wound; damage,AWL,Sublist 2,passive,使受傷,
institute,v.,The company instituted a four-day week last year.,institute a policy; institute reforms; institute proceedings,"in-(進入) + stitut(建立, 同 constitute/substitute/statute) → 設立起來開始跑",establish; introduce; set up; initiate,AWL,Sublist 2,passive,設立、開始實行,
invest,v.,The city has invested heavily in cycling infrastructure.,invest in; heavily invest; invest time,"in-(進入) + vest(衣服, 同 vest/vestment)；原指「給某物穿上外衣」→ 把錢投到某事上",put money into; fund; back; commit,AWL,Sublist 2,passive,投資,
item,n.,Every item on the questionnaire was answered by all participants.,an item on the list; each item; a news item,拉丁 item「同樣地」—— 舊清單每一行都以 item 開頭 → 一項,entry; article; thing; element,AWL,Sublist 2,passive,項目,
journal,n.,The findings appeared in a leading medical journal.,an academic journal; publish in a journal; a peer-reviewed journal,"jour(日, 法文, 同 journey 原意「一天的路程」) + -al → 按期出刊的東西",periodical; publication; magazine,AWL,Sublist 2,passive,期刊,
maintain,v.,The council can no longer afford to maintain all its parks.,maintain standards; well maintained; maintain that,"main(手, 拉丁 manus, 同 manual/manage) + tain(持有, 同 contain/obtain) → 用手一直握著",keep up; preserve; sustain; uphold,AWL,Sublist 2,passive,維持、保養,另一個意思是「主張」：maintain that…
normal,adj.,Rainfall was well above normal levels this spring.,under normal conditions; return to normal; normal practice,"norm(木匠的角尺, 拉丁 norma) + -al → 合乎標準尺度的",usual; standard; typical; ordinary,AWL,Sublist 2,passive,正常的,
obtain,v.,Students must obtain written permission before filming on campus.,obtain permission; obtain results; hard to obtain,"ob-(朝向) + tain(持有, 同 contain/maintain/retain) → 把東西握到手上",get; acquire; secure; procure,AWL,Sublist 2,passive,取得,
participate,v.,More than half the school participates in the recycling scheme.,participate in; actively participate; participate fully,"part(部分) + cip(拿, 同 capture/recipient/principle) + -ate → 分到一份 → 參與",take part; join in; be involved; contribute,AWL,Sublist 2,passive,參與,
perceive,v.,Cycling is still perceived as dangerous by many parents.,be perceived as; perceive a difference; widely perceived,"per-(徹底) + ceiv(拿, 同 receive/conceive/deceive) → 整個接收進來 → 察覺",see; regard; view; discern,AWL,Sublist 2,passive,感知、視為,
positive,adj.,Early results of the trial were surprisingly positive.,a positive effect; positive feedback; remain positive,"posit(放置, 同 position/compose/deposit) + -ive → 已經擺定的 → 確定的、正向的",favourable; constructive; encouraging; upbeat,AWL,Sublist 2,passive,正面的,
potential,n.,Wind power has enormous potential along this coast.,enormous potential; realise your potential; the potential for,"potent(有力量, 同 power/potent/possible) + -ial → 還沒使出來的力量",capacity; possibility; promise; capability,AWL,Sublist 2,passive,潛力,
previous,adj.,Sales were double those of the previous year.,the previous year; previous experience; a previous study,"pre-(之前) + vi(路, 同 via/obvious/deviate) + -ous → 走在前面那一段的",earlier; preceding; prior; former,AWL,Sublist 2,passive,先前的,
primary,adj.,The primary cause of the delay was poor weather.,the primary cause; primary school; of primary importance,"prim(第一, 同 prime/primitive/prince) + -ary → 排在第一的",main; chief; principal; foremost,AWL,Sublist 2,passive,主要的；初級的,
purchase,v.,Tickets purchased online cost ten per cent less.,purchase tickets; recently purchased; purchase online,"pur-(向前, 同 pursue) + chase(追) → 一路追到手 → 買下",buy; acquire; obtain; pay for,AWL,Sublist 2,passive,購買,比 buy 正式，Task 1 講消費行為好用
range,n.,The library offers a wide range of online courses.,a wide range of; range from; the age range,法文 rang「一排」(同 rank/arrange) → 排開來的幅度,variety; spread; span; selection,AWL,Sublist 2,passive,範圍、幅度,
region,n.,The northern region receives twice as much rain as the south.,a coastal region; the region of; regional differences,"reg(統治、劃線, 同 regular/regime/rule) + -ion → 劃出來管轄的地方",area; district; zone; territory,AWL,Sublist 2,passive,地區,
regulate,v.,Few countries regulate the sale of personal data effectively.,regulate the market; strictly regulated; regulate access,"reg(規則, 同 regular/rule/regime) + -ate → 按規矩管起來",control; govern; supervise; police,AWL,Sublist 2,passive,管制、規範,
relevant,adj.,Only two of the studies are relevant to this question.,relevant experience; be relevant to; highly relevant,"re-(再) + lev(舉起, 同 elevate/lever/relieve) + -ant → 扛得起這件事 → 有關係的",pertinent; applicable; related; germane,AWL,Sublist 2,passive,相關的,
reside,v.,Nearly a third of students reside outside the city.,reside in; permanently reside; reside abroad,"re-(回) + sid(坐, 同 sedentary/preside/president) → 坐回定處 → 定居",live; dwell; be based; inhabit,AWL,Sublist 2,passive,居住,
